Emplid,Employee Name,Employee Email ID,Grade,Employee Status,Hire Date,Past Experience,Current Experience,Total Experience,Location Category ,Country,City ,Pool Description ,Department ID ,Business Unit,Project Category ,SL/IND_CLUSTER,Customer,SSL/POD,Project Id,Project Name,Project Mgr PSID,Project Mgr Name,Project Type,Billing Type,Project Status,Project Role,Task Type,Action Reason,Establishment Date,Resource Start Date ,Resource End Date,Analysis Type,Supervisor Id,Supervisor Name,Supervisor Email ID,Assignment So Id ,Hire So Id,Master Account,Marketing Geo,First Billable Assignment start date Recorded in system ,Hiring Channel,Project Based SL,Project Based SSL,Project Account,Customer Name,Resource Based SL,Resource Based SSL,% Allocation,Allocation % count,Forecast Date,Future Allocation,Skiil,Confirm release,Project end date,LWD,Exit,Bench aging,D rated,Status,PSSL,Campus/Lateral,Campus status,G2,Bench allocation category,NE under bench,NE under bench Duration,Onsite status,Final Status,Bench Gird,Status without BZ,Comments as of today,Release Week?,Current or Future Bench,Exit date (+60 days),Exit Week,OC,ll,Leave type,BZ resources,Concatenation,revised end date,Allocation % Status,RM Status for BZ,CMP,Total Allocation %,CAO,CAO Bench Project,BNH_BNHP Projects,Project based SL,Validation,Project based SSL,Validation.1,Final Status Category,Final Status Sub Category,CAO Status,Releases in Next 30 days and beyond,Project Start Date,Ageing (Today - Tentative Billing Start date),Tentative Billing Start date,Release Month,Confirm Release Period,Resignation Submitted Date,Validation.2,Ratings?,TalentX  - Core Skill,TalentX  Primary & Seconday Skills,RM,Final Status RM Deployement back,"Talent Core, Primary and Secondary",a,Unnamed: 111, 
98696,Sunita Sharma,sunita.sharma@itcinfotech.com,IS8,Employee,5/11/2018,7.6,0.2,7.8,Offshore,Brazil,SAO PAULO,Pool for CMS,BAT_DM,HRBTM,INV,I2A_CORPORATE,Goldman Sachs,CIO_SERV_MGT,89131,BAT_DM,44671,"Ravi,Banerjee",INV,"FP,T&M",P,PROGRAM MANAGER,NI,FTE,5/11/2018,5/11/2018,11/18/2019,BIL,15695,Sunil Reddy,sunil.reddy@itcinfotech.com,8707870,9996414,Goldman Sachs,EUROPE,4/3/2020,DCR,I2A_CORPORATE,DATA_IN,Goldman Sachs,Goldman Sachs,I2A_CORPORATE,ADM,50,0.5,8/12/2026,NI,ServiceNow,Confirmed Release,11/18/2019,9/12/2025,,351.0,,OC,,Lateral,Allocated,,50% to 99% on bench,,0,,No Open Demands,31-60 days,OC,,Releases by 12th February 27,Current bench,1/17/2020,Exit by 7th March 27,44993,,,,9869689131,1/16/2020,,,,50,BlackRock Inc,KONE,BNHP,I2A_CORPORATE,,BZDAI,Yes,,No Open Demands,New,Released to Bench,5/11/2018,,8/27/2025,Nov-19,,,,D2,ServiceNow,"MongoDB, Data Engineering",Sonal R Billava,Unclear,"-ServiceNow, MongoDB, Data Engineering",Nov-19,,
83000,Geeta Bose,geeta.bose@itcinfotech.com,3PT,Non-Employee,8/18/2018,4.0,1.7,5.7,Onsite,Saudi Arabia,RIYADH,Pool for ACCOR AD,BAT_DM,I2DEU,RMPGT,CIO_SERV,Schneider Electric India,GIC_ERP,92240,GARTNER_CLOUD,30969,"Pooja,Gupta",RMPGT,FP,A,ASSOCIATE CONS,BE,EXT,8/18/2018,8/25/2018,10/29/2019,BIL,99192,Sunil Ghosh,sunil.ghosh@itcinfotech.com,8082668,2065818,Schneider Electric India,I2B,3/17/2024,FTR,CIO_SERV,BZDAI,Schneider Electric India,Schneider Electric India,CIO_SERV,ADM,75,0.75,11/20/2026,NI,ERP-SAP,Unclear,10/29/2019,,,250.1,,Support,CIO_SERV_MGT,Lateral,,,50% to 99% on bench,,0,,Proposed - Feedback Awaiting,31-60 days,Support,,Releases by 17th January 27,Current bench,12/28/2019,Exit by 28th March 27,,,,,8300092240,11/6/2019,,,,75,AB InBev GCC Services India Pvt Ltd,KONE,BNH,CIO_SERV,No,BZDAI,,New Hire to be allocated to projects,Proposed - Feedback Awaiting,New,Release in 60 days,8/25/2018,,2/15/2026,Oct-19,,,,,ERP-SAP,"MongoDB, ServiceNow",Naresh Chopra,Unclear,"-ERP-SAP, MongoDB, ServiceNow",Oct-19,,
24662,Gaurav Kulkarni,gaurav.kulkarni@itcinfotech.com,IS5,Employee,9/13/2020,7.3,0.6,7.9,Onsite,Singapore,SINGAPORE,Pool for ABINV CS,BLACKROCK,HRBSG,DE,COMP_SEC,ACCOR SA,CIO_SERV_MGT,54313,ERP_SAP_IMPL,12757,"Sunil,Sinha",DE,"FP,T&M",A,CONSULTANT,UN,CDP,9/13/2020,10/11/2020,3/21/2022,BIL,87110,Nisha Sharma,nisha.sharma@itcinfotech.com,4860684,4694634,ACCOR SA,EUROPE,11/18/2022,FTE,COMP_SEC,DATA_IN,ACCOR SA,ACCOR SA,COMP_SEC,ADM,50,0.5,3/29/2026,,React,Unclear,3/21/2022,,,238.2,,Support,CIO_SERV_MGT,Campus,Allocated,,50% to 99% on bench,4/30/2027,Future Allocation,,Proposed - Feedback Awaiting,>91 days,Support,,Releases by 26th February 27,Current bench,5/20/2022,Exit by 7th May 27,,,,,2466254313,3/3/2022,,,,50,ABB India Limited,BMI,BNH,COMP_SEC,No,,No,New Hire to be allocated to projects,Proposed - Feedback Awaiting,New,Release in 30 days,10/11/2020,,1/20/2027,Mar-22,,,,,React,"Azure, ERP-SAP",Vibhanshu Tiwari,Yes,"-React, Azure, ERP-SAP",Mar-22,,
54473,Kunal Reddy,kunal.reddy@itcinfotech.com,I7+,Employee,1/6/2024,4.2,2.0,6.2,Onsite,Australia,SYDNEY,Pool for ERP,BCG,I2NLD,RMPGT,I3L_CORPORATE,Goldman Sachs Services India,CAMPUS_BATCH,69638,GIC_INFRA,47388,"Meera,Sen",RMPGT,T&M,A,CONSULTANT,NE,FTE,1/6/2024,1/20/2024,11/2/2025,BIL,65444,Amit Reddy,amit.reddy@itcinfotech.com,9164991,3597059,Goldman Sachs Services India,EUROPE,4/12/2020,FTE,I3L_CORPORATE,ITC,Goldman Sachs Services India,Goldman Sachs Services India,I3L_CORPORATE,CMS,25,0.25,3/9/2027,NE,Microservices,Confirmed Release,11/2/2025,,,49.9,,Allocated under project,BLACKROCK,Lateral,,,25% to 50% on bench,3/12/2026,HR Action,,Proposed - Pending Interview,<30 days,Allocated under project,,Releases by 22th January 27,Future bench,1/1/2026,Exit by 13th May 27,,,,,5447369638,1/31/2026,,,,25,AB InBev GCC Services India Pvt Ltd,GOLDMAN_S,BNHP,I3L_CORPORATE,,DXP_SAAS,No,,Proposed - Pending Interview,New,Released to Bench,1/20/2024,,7/7/2025,Nov-25,,,,D2,Microservices,".NET Core, Kafka",Vinila Kizhakke Valappil,No,"-Microservices, .NET Core, Kafka",Nov-25,,
51180,Kiran Roy,kiran.roy@itcinfotech.com,3PT,Employee,7/14/2025,13.9,7.5,21.4,Onsite,Germany,BERLIN,Pool for ABINV CX,BLACKROCK,HRBCA,OD,CAO,Fairview Health Services,CIO_SERV_MGT,97538,BAT_DM,82692,"Priya,Gupta",OD,T&M,P,PROGRAM MANAGER,UN,CJC,7/14/2025,8/3/2025,4/8/2028,BIL,49240,Rohit Joshi,rohit.joshi@itcinfotech.com,2737893,3253031,Fairview Health Services,APAC,2/20/2021,3PT,CAO,BZDAI,Fairview Health Services,Fairview Health Services,CAO,ITC,25,0.25,4/14/2027,,Kubernetes,Extension to be performed/Initiated,4/8/2028,,,499.2,,Allocated under project,BLACKROCK,Campus,Without FBD,,25% to 50% on bench,,Awaiting project extension,,Proposed - Pending Interview,61-90 days,Allocated under project,,Releases by 2th January 27,Current bench,6/7/2028,Exit by 11th May 27,,,,,5118097538,5/29/2028,Exceeds 100%,,,25,British American Tobacco Shared Services,AON,Other,CAO,,,,New Hire to be allocated to projects,Proposed - Pending Interview,,Release in 30 days,8/3/2025,,11/20/2025,Apr-28,,,,D1,Kubernetes,"Artificial Intelligence, DevOps",Vibhanshu Tiwari,Yes,"-Kubernetes, Artificial Intelligence, DevOps",Apr-28,,
29536,Naveen Roy,naveen.roy@itcinfotech.com,IS8,Employee,3/13/2024,4.6,7.2,11.8,Onsite,United Kingdom,LONDON,Pool for BAT,HRBPH,HRBMY,RMPGT,MARKETING,British American Tobacco Shared Services,CAMPUS_BATCH,44970,GARTNER_CLOUD,30866,"Mohit,Joshi",RMPGT,"FP,T&M",A,PROGRAM MANAGER,LL,TRA,3/13/2024,3/17/2024,8/14/2027,BIL,24168,Geeta Nair,geeta.nair@itcinfotech.com,7417985,1649691,British American Tobacco Shared Services,EUROPE,9/13/2023,FTR,MARKETING,DATA_IN,British American Tobacco Shared Services,British American Tobacco Shared Services,MARKETING,CMS,25,0.25,5/11/2026,BE,.NET Core,Confirmed Release,8/14/2027,,,341.4,,LL/IN/INT,BLACKROCK,Campus,Without FBD,,25% to 50% on bench,10/13/2026,0,,NAFD - Long Leave,>91 days,LL/IN/INT,,Releases by 22th March 27,Current bench,10/13/2027,Exit by 11th May 27,,,Maternity Leave I / II Child,,2953644970,7/29/2027,Exceeds 100%,,,25,British American Tobacco Shared Services,ADGM,Other,MARKETING,Yes,DXP_SAAS,,,NAFD - Long Leave,Old,Release in 60 days,3/17/2024,,2/12/2025,Aug-27,,,,D2,.NET Core,"Kafka, Terraform",Vimal Malhotra,Unclear,"-.NET Core, Kafka, Terraform",Aug-27,,
77033,Arjun Chatterjee,arjun.chatterjee@itcinfotech.com,I7+,Employee,11/9/2020,13.9,4.3,18.2,Onsite,Australia,SYDNEY,Pool for ABINV CS,BCG,I2AUS,RMPGT,GIC_SERV,Baker Hughes India,CROWN_PACK,98777,ERP_SAP_IMPL,32810,"Arjun,Mukherjee",RMPGT,FP,P,GDC_DEV,IN,LAT,11/9/2020,11/10/2020,4/21/2024,BIL,90676,Priya Kumar,priya.kumar@itcinfotech.com,6049101,7812810,Baker Hughes India,I3L,6/24/2022,RBG,GIC_SERV,DATA_IN,Baker Hughes India,Baker Hughes India,GIC_SERV,ITC,50,0.5,1/2/2026,,Java,Unclear,4/21/2024,11/21/2025,,35.9,,LL/IN/INT,BLACKROCK,Lateral,Allocated,,50% to 99% on bench,,HR Action,,NAFD - Long Leave,61-90 days,LL/IN/INT,,Releases by 3th January 27,Future bench,6/20/2024,Exit by 22th April 27,,,Maternity Leave I / II Child,,7703398777,4/19/2024,Equal 100,,,50,British American Tobacco Shared Services,GOLDMAN_S,Other,GIC_SERV,Yes,BZDAI,No,New Hire to be allocated to projects,NAFD - Long Leave,Old,Beyond 60 days,11/10/2020,,6/17/2026,Apr-24,,,,D2,Java,"Kafka, Power BI",Vibhanshu Tiwari,,"-Java, Kafka, Power BI",Apr-24,,
85454,Naveen Bose,naveen.bose@itcinfotech.com,ISC,Non-Employee,7/18/2023,10.3,7.1,17.4,Offshore,Brazil,SAO PAULO,Pool for ABINV CX,GIC_INFRA,I2ITA,BDMGT,I2A_CORPORATE,Driscoll India,GIC_ERP,30861,GARTNER_CLOUD,72216,"Divya,Mehta",BDMGT,T&M,P,GDC_DEV,UN,EXT,7/18/2023,7/30/2023,12/10/2025,BIL,68991,Sunita Sinha,sunita.sinha@itcinfotech.com,5348512,5147994,Driscoll India,EUROPE,1/1/2024,RBG,I2A_CORPORATE,BZDAI,Driscoll India,Driscoll India,I2A_CORPORATE,ITCSMG,25,0.25,6/1/2026,BE,SAP S4 HANA,Extension to be performed/Initiated,12/10/2025,,,110.2,,BZ,BLACKROCK,Campus,,,25% to 50% on bench,,Future Allocation,,Unclear,>91 days,Available,,Releases by 23th January 27,Current bench,2/8/2026,Exit by 23th May 27,,,,76162,8545430861,11/18/2025,Exceeds 100%,,,25,ABB India Limited,BMI,Other,I2A_CORPORATE,,,No,New Hire to be allocated to projects,Unclear,Old,Beyond 60 days,7/30/2023,,11/3/2026,Dec-25,,,,D1,SAP S4 HANA,"Azure DevOps, Tableau",Shubham Lahiri,,"-SAP S4 HANA, Azure DevOps, Tableau",Dec-25,,
86556,Kavya Sinha,kavya.sinha@itcinfotech.com,DT6,Non-Employee,5/8/2023,5.8,7.1,12.9,Onsite,Brazil,SAO PAULO,Pool for ABINV AD,BLACKROCK,HRBTM,SE,I2A_CORPORATE,ACCOR SA,CROWN_PACK,21003,GARTNER_CLOUD,94246,"Deepa,Kumar",SE,T&M,P,CONSULTANT,NI,CDP,5/8/2023,5/8/2023,4/27/2026,BIL,66179,Arun Mishra,arun.mishra@itcinfotech.com,3276659,8746014,ACCOR SA,APAC,4/7/2024,CMP,I2A_CORPORATE,CMS,ACCOR SA,ACCOR SA,I2A_CORPORATE,ADM,100,1.0,11/2/2026,,Power BI,Confirmed Release,4/27/2026,,,367.6,,Allocated under project,BLACKROCK,Lateral,Allocated,,100% on bench,,HR Action,,Proposed - Pending Interview,<30 days,Allocated under project,,Releases by 12th January 27,Current bench,6/26/2026,Exit by 21th May 27,,,,,8655621003,7/5/2026,,,,100,BSH India,GOLDMAN_S,BNHP,I2A_CORPORATE,Yes,BZDAI,Yes,New Hire to be allocated to projects,Proposed - Pending Interview,New,Release in 30 days,5/8/2023,,2/11/2027,Apr-26,,,,D1,Power BI,"Artificial Intelligence, UI/UX Design",Aishwarya M2,No,"-Power BI, Artificial Intelligence, UI/UX Design",Apr-26,,
24993,Gaurav Das,gaurav.das@itcinfotech.com,LN7,Employee,11/15/2020,9.1,6.0,15.1,Onsite,Malaysia,KUALA LUMPUR,Pool for DATA,BLACKROCK,I2POL,OD,DXP,Baker Hughes India,GIC_CMS,79827,GARTNER_CLOUD,66148,"Rahul,Rao",OD,FP,P,GDC_DEV,UN,SRV,11/15/2020,12/9/2020,1/3/2024,BIL,96706,Kiran Chatterjee,kiran.chatterjee@itcinfotech.com,7217147,2156902,Baker Hughes India,ITC,6/10/2022,OCM,DXP,DATA_IN,Baker Hughes India,Baker Hughes India,DXP,ITC,25,0.25,6/21/2026,BE,Salesforce,Extension to be performed/Initiated,1/3/2024,12/4/2026,,482.4,,BZ,,Campus,Released From Project,,25% to 50% on bench,,HR Action,,Unclear,61-90 days,Available,,Releases by 11th January 27,Current bench,3/3/2024,Exit by 27th May 27,,,,25866,2499379827,1/8/2024,Exceeds 100%,,,25,AB InBev GCC Services India Pvt Ltd,AON,BNH,DXP,,,No,New Hire to be allocated to projects,Unclear,,Released to Bench,12/9/2020,,9/13/2026,Jan-24,,,,D2,Salesforce,"Power BI, Data Engineering",Shubham Lahiri,Unclear,"-Salesforce, Power BI, Data Engineering",Jan-24,,
